"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
10418	2	0	0	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"0"	"KRAS"
57	4	2	1	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"1"	"KRAS -> APC"
162	6	2	2	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"3"	"KRAS -> APC"
71	7	1	3	"metastatic"	0.25	"0 0 0 1"	"0 0 0 0"	"0"	"4"	"PIK3CA"
8372	9	2	3	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 7"	"0"	"KRAS -> PIK3CA"
3303	10	1	4	"metastatic"	0.25	"0 0 0 1"	"0 0 0 0"	"0"	"5"	"PIK3CA"
18	15	2	5	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"8"	"KRAS -> APC"
4	16	2	5	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 13"	"0"	"KRAS"
58	18	2	5	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"9"	"KRAS -> APC"
3	27	2	7	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 23"	"0"	"KRAS"
9	28	2	7	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 25"	"0"	"KRAS"
3	29	2	7	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 27"	"0"	"KRAS"
5	32	2	8	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 29"	"0"	"KRAS"
16	33	2	8	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"18"	"KRAS -> APC"
2595	36	2	8	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 35"	"0"	"KRAS -> PIK3CA"
3820	41	2	9	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"21"	"KRAS -> PIK3CA"
1071	42	2	9	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"22"	"KRAS -> PIK3CA"
21	50	2	10	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"28"	"KRAS -> APC"
12	57	2	12	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"30"	"KRAS -> APC"
3	60	2	12	"primary"	0.25	"0 1 0 0"	"0 1 0 0"	"1"	"32"	"KRAS"
27	64	2	12	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"33"	"KRAS -> APC"
430	65	2	12	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"34"	"KRAS -> PIK3CA"
16	77	2	13	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"41"	"KRAS"
4	82	2	13	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 77"	"0"	"KRAS"
10	91	2	14	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"49"	"KRAS -> APC"
454	94	2	14	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"51"	"KRAS -> PIK3CA"
918	102	2	14	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 99"	"0"	"KRAS -> PIK3CA"
11	107	2	15	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"55"	"KRAS -> APC"
5	113	2	15	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 109"	"0"	"KRAS -> APC"
