Time	N_clones	N_normal	N_primary	N_metastatic	N_point_mutations	N_duplications	N_deletions
1	2	521	669	0	1	0	0
2	3	511	817	0	1	1	0
3	5	511	961	0	2	2	0
4	8	492	1158	2	3	4	0
5	13	491	1392	5	6	6	0
6	15	425	1652	3	5	9	0
7	14	419	1928	3	5	8	0
8	20	345	2285	5	7	12	0
9	30	322	2633	4	11	17	1
10	28	283	3066	2	11	16	0
11	36	241	3468	4	15	20	0
12	40	206	4033	10	17	22	0
13	46	162	4583	17	22	24	0
14	51	120	5070	24	23	28	0
15	61	83	5643	27	31	27	2
16	65	55	6241	34	34	28	2
17	73	39	6850	50	34	35	3
18	69	26	7416	70	28	35	5
19	80	21	7927	93	36	40	3
20	87	20	8437	120	42	41	4
21	85	10	8855	140	40	39	5
22	97	6	9358	184	52	41	3
23	102	5	9523	235	55	43	3
24	102	1	9942	297	54	44	3
25	112	1	10233	378	57	50	4
26	117	1	10430	461	61	52	4
27	123	1	10620	584	69	49	4
28	125	1	10728	725	66	54	4
29	142	1	10834	949	74	64	4
30	152	1	10839	1259	80	69	4
31	152	1	10821	1539	79	67	7
32	153	0	10952	1931	82	67	6
33	169	0	11084	2332	88	79	6
34	182	0	11015	2918	93	86	7
35	185	0	11064	3702	96	86	7
36	190	0	11030	4669	99	88	8
37	199	0	11019	5877	103	92	8
38	204	0	10926	7354	107	92	8
39	219	0	10803	9213	112	100	10
40	257	0	10852	11473	127	122	11
41	280	0	10824	14203	132	140	12
42	301	0	10835	17792	140	151	13
43	318	0	10951	22373	151	155	15
44	371	0	11016	27780	176	183	16
45	458	0	10895	35057	203	235	24
46	486	0	11052	43814	224	246	23
47	584	0	11112	55122	278	289	25
48	695	0	11250	68836	338	328	36
49	849	0	11326	85966	388	418	56
50	1032	0	11306	107728	468	521	57
