Chr	CCDS_ID	Gene	Start	End	Len
5	CCDS4107.1	APC	112754890	112755024	135
5	CCDS4107.1	APC	112766325	112766409	85
5	CCDS4107.1	APC	112767188	112767389	202
5	CCDS4107.1	APC	112775628	112775736	109
5	CCDS4107.1	APC	112780789	112780902	114
5	CCDS4107.1	APC	112792445	112792528	84
5	CCDS4107.1	APC	112801278	112801382	105
5	CCDS4107.1	APC	112815494	112815592	99
5	CCDS4107.1	APC	112818965	112819343	379
5	CCDS4107.1	APC	112821895	112821990	96
5	CCDS4107.1	APC	112827107	112827246	140
5	CCDS4107.1	APC	112827928	112828005	78
5	CCDS4107.1	APC	112828855	112828971	117
5	CCDS4107.1	APC	112834950	112835164	215
5	CCDS4107.1	APC	112837552	112844125	6574
12	CCDS8702.1	KRAS	25209794	25209910	117
12	CCDS8702.1	KRAS	25225613	25225772	160
12	CCDS8702.1	KRAS	25227233	25227411	179
12	CCDS8702.1	KRAS	25245273	25245383	111
3	CCDS43171.1	PIK3CA	179198825	179199176	352
3	CCDS43171.1	PIK3CA	179199689	179199898	210
3	CCDS43171.1	PIK3CA	179201289	179201539	251
3	CCDS43171.1	PIK3CA	179203543	179203788	246
3	CCDS43171.1	PIK3CA	179204502	179204587	86
3	CCDS43171.1	PIK3CA	179209594	179209699	106
3	CCDS43171.1	PIK3CA	179210185	179210337	153
3	CCDS43171.1	PIK3CA	179210430	179210564	135
3	CCDS43171.1	PIK3CA	179218209	179218333	125
3	CCDS43171.1	PIK3CA	179219195	179219276	82
3	CCDS43171.1	PIK3CA	179219570	179219734	165
3	CCDS43171.1	PIK3CA	179219948	179220051	104
3	CCDS43171.1	PIK3CA	179220985	179221156	172
3	CCDS43171.1	PIK3CA	179224080	179224186	107
3	CCDS43171.1	PIK3CA	179224699	179224820	122
3	CCDS43171.1	PIK3CA	179225961	179226039	79
3	CCDS43171.1	PIK3CA	179229271	179229441	171
3	CCDS43171.1	PIK3CA	179230003	179230120	118
3	CCDS43171.1	PIK3CA	179230224	179230375	152
3	CCDS43171.1	PIK3CA	179234093	179234363	271
17	CCDS11118.1	TP53	7669608	7669689	82
17	CCDS11118.1	TP53	7670608	7670714	107
17	CCDS11118.1	TP53	7673534	7673607	74
17	CCDS11118.1	TP53	7673700	7673836	137
17	CCDS11118.1	TP53	7674180	7674289	110
17	CCDS11118.1	TP53	7674858	7674970	113
17	CCDS11118.1	TP53	7675052	7675235	184
17	CCDS11118.1	TP53	7675993	7676271	279
17	CCDS11118.1	TP53	7676381	7676402	22
17	CCDS11118.1	TP53	7676520	7676593	74
